Model,Corpus,MacroF1
LSTM,Combined,0.5893438389685375
LSTM,Combined,0.57872971339563
LSTM,Combined,0.577003759287247
LSTM,Combined,0.5569099684020922
LSTM,Combined,0.5469062835104248
LSTM,Combined,0.5861633090772069
LSTM,Combined,0.563982844730723
LSTM,Combined,0.5792563770707896
LSTM,Combined,0.5862699643283321
LSTM,Combined,0.5482705421605157
LSTM,Combined,0.5406810787925811
LSTM,Combined,0.5715719104930326
LSTM,Combined,0.5398013228536027
LSTM,Combined,0.5706555828165518
LSTM,Combined,0.5607442518077628
LSTM,Combined,0.5741576815897128
LSTM,Combined,0.5679332799191269
LSTM,Combined,0.5988621287244937
LSTM,Combined,0.5800183145128942
LSTM,Combined,0.5647052042848414
LSTM,Combined,0.5447719652271165
LSTM,Combined,0.5465855993708132
LSTM,Combined,0.5490114434960581
LSTM,Combined,0.5774241634213443
LSTM,Combined,0.573118810439523
LSTM,Combined,0.564318762101405
LSTM,Combined,0.580274486764789
LSTM,Combined,0.6322172970942332
LSTM,Combined,0.5899473950045503
LSTM,Combined,0.5460958975597731
LSTM,Combined,0.5576251540090665
LSTM,Combined,0.5632500315209004
LSTM,Combined,0.5659313715835027
LSTM,Combined,0.5909476409599447
LSTM,Combined,0.579362163502451
LSTM,Combined,0.6111138702593535
LSTM,Combined,0.5945089330037749
LSTM,Combined,0.566111900132642
LSTM,Combined,0.587609254306668
LSTM,Combined,0.5807899209236509
LSTM,Combined,0.5691730393986945
LSTM,Combined,0.575677140890447
LSTM,Combined,0.5570187781304943
LSTM,Combined,0.5593520609425714
LSTM,Combined,0.5797341330801137
LSTM,Combined,0.5656020644360228
LSTM,Combined,0.5739559269016613
LSTM,Combined,0.6106090072328663
LSTM,Combined,0.5805850339015068
LSTM,Combined,0.5489292586420952
LSTM,Combined,0.5679669525337733
LSTM,Combined,0.607794311121709
LSTM,Combined,0.5894252039151792
LSTM,Combined,0.5739145112407078
LSTM,Combined,0.5870815976686633
LSTM,Combined,0.6055282278269981
LSTM,Combined,0.5796251919861988
LSTM,Combined,0.6080673213713886
LSTM,Combined,0.5778098302512651
LSTM,Combined,0.5895569416019003
LSTM,Combined,0.6061594691083695
LSTM,Combined,0.5572389503494913
LSTM,Combined,0.5987320012866024
LSTM,Combined,0.5892085075644967
LSTM,Combined,0.6019437689390575
LSTM,Combined,0.5790869475892755
LSTM,Combined,0.5804495303611363
LSTM,Combined,0.5775438836557111
LSTM,Combined,0.5810899562645225
LSTM,Combined,0.5612961990152748
LSTM,Combined,0.5905769813716173
LSTM,Combined,0.5509287700709818
LSTM,Combined,0.5828129833907956
LSTM,Combined,0.5727865077160299
LSTM,Combined,0.5615929122125298
LSTM,Combined,0.600622454943925
LSTM,Combined,0.5750661914641523
LSTM,Combined,0.5833271578153274
LSTM,Combined,0.560958393565924
LSTM,Combined,0.5514359805653977
LSTM,Combined,0.5675058110621984
LSTM,Combined,0.5935415171306695
LSTM,Combined,0.5535316380000945
LSTM,Combined,0.5710703025291455
LSTM,Combined,0.5850485479678167
LSTM,Combined,0.5587931446606911
LSTM,Combined,0.5829404462202384
LSTM,Combined,0.5280071473730154
LSTM,Combined,0.5811497499384126
LSTM,Combined,0.5122497482056456
LSTM,Combined,0.5727981521845409
LSTM,Combined,0.5540539883433798
LSTM,Combined,0.5811775949757312
LSTM,Combined,0.5823169688506173
LSTM,Combined,0.576031010193964
LSTM,Combined,0.5839611236197261
LSTM,Combined,0.5844338065908157
LSTM,Combined,0.5638260585082221
LSTM,Combined,0.5429478404344857
LSTM,Combined,0.5850489807050421
LSTM,Combined,0.565024349280659
LSTM,Combined,0.5821869820570119
LSTM,Combined,0.6020402662784146
LSTM,Combined,0.5556585931851812
LSTM,Combined,0.5579725844247637
LSTM,Combined,0.5512263981673109
LSTM,Combined,0.5708410563174106
LSTM,Combined,0.5789873973339497
LSTM,Combined,0.5858596411073383
LSTM,Combined,0.5873694209952941
LSTM,Combined,0.5802738934220667
LSTM,Combined,0.5845033359356359
LSTM,Combined,0.5558130334272614
LSTM,Combined,0.5366217328830585
LSTM,Combined,0.5780576540198461
LSTM,Combined,0.5457454795251319
LSTM,Combined,0.5806757425313792
LSTM,Combined,0.5914988848312392
LSTM,Combined,0.601519265111598
LSTM,Combined,0.566912508360164
LSTM,Combined,0.580274968826222
LSTM,Combined,0.5931356433321732
LSTM,Combined,0.5818218790595364
LSTM,Combined,0.5829584048834389
LSTM,Combined,0.5716741417765238
LSTM,Combined,0.5749366724358366
LSTM,Combined,0.5582688823902157
LSTM,Combined,0.5827125669733394
LSTM,Combined,0.5683657012490045
LSTM,Combined,0.5892461132195588
LSTM,Combined,0.5642298170764528
LSTM,Combined,0.581990739594778
LSTM,Combined,0.6035574665507545
LSTM,Combined,0.5814528967374182
LSTM,Combined,0.5582161412207917
LSTM,Combined,0.5514565982651884
LSTM,Combined,0.580401679946394
LSTM,Combined,0.5465004001505153
LSTM,Combined,0.5601868105176305
LSTM,Combined,0.5548318605385493
LSTM,Combined,0.5890105452051465
LSTM,Combined,0.6104430703739598
LSTM,Combined,0.573707096101527
LSTM,Combined,0.5767408213308169
LSTM,Combined,0.5615346806928738
LSTM,Combined,0.5694400704093918
LSTM,Combined,0.5678653093630973
LSTM,Combined,0.5389167789134407
LSTM,Combined,0.5483471834406373
LSTM,Combined,0.5553816800549578
LSTM,Combined,0.5773232016128759
LSTM,Combined,0.5832395114764775
LSTM,Combined,0.5801025659808454
LSTM,Combined,0.5701979517254184
LSTM,Combined,0.5598913505335553
LSTM,Combined,0.5630042170891107
LSTM,Combined,0.547370465858522
LSTM,Combined,0.5972519175446634
LSTM,Combined,0.5830647211029687
LSTM,Combined,0.557646574390783
LSTM,Combined,0.5689935816511846
LSTM,Combined,0.5962983095135957
LSTM,Combined,0.5868104816548433
LSTM,Combined,0.598674617742571
LSTM,Combined,0.6030415455444382
LSTM,Combined,0.6040229042584088
LSTM,Combined,0.5802552942923581
LSTM,Combined,0.6050254240294248
LSTM,Combined,0.5594280327493051
LSTM,Combined,0.5631769490190871
LSTM,Combined,0.6007689304821305
LSTM,Combined,0.5610715986542592
LSTM,Combined,0.5601494096143566
LSTM,Combined,0.5883807744507799
LSTM,Combined,0.594362482518326
LSTM,Combined,0.5723834663725001
LSTM,Combined,0.5902407311572696
LSTM,Combined,0.5481514397291652
LSTM,Combined,0.5778315000348634
LSTM,Combined,0.5855488135071582
LSTM,Combined,0.579471706912129
LSTM,Combined,0.5858640396113985
LSTM,Combined,0.5665295083994177
LSTM,Combined,0.5768108071251815
LSTM,Combined,0.5707581716823161
LSTM,Combined,0.5978766779113572
LSTM,Combined,0.5902410165599195
LSTM,Combined,0.5732912373660046
LSTM,Combined,0.5863057096970996
LSTM,Combined,0.574576385028953
LSTM,Combined,0.5813631966989907
LSTM,Combined,0.5786738331420117
LSTM,Combined,0.5585338755856085
LSTM,Combined,0.586568443137949
LSTM,Combined,0.5929952297717412
LSTM,Combined,0.5455666388036693
LSTM,Combined,0.5837578169816219
LSTM,Combined,0.5763532678764849
LSTM,Combined,0.5807939206530313
LSTM,Combined,0.5647308820621272
LSTM,Combined,0.5720682322778115
LSTM,Combined,0.570056302118532
LSTM,Combined,0.5958796322870331
LSTM,Combined,0.6107167038132923
LSTM,Combined,0.59626365402339
LSTM,Combined,0.5926824977270121
LSTM,Combined,0.5752775790437504
LSTM,Combined,0.581442514167296
LSTM,Combined,0.5944379060213446
LSTM,Combined,0.5704732571167018
LSTM,Combined,0.6015526383740462
LSTM,Combined,0.5639676282038671
LSTM,Combined,0.587080106230375
LSTM,Combined,0.5854864702092434
LSTM,Combined,0.5774896993929846
LSTM,Combined,0.5866085268943212
LSTM,Combined,0.6047737191548136
LSTM,Combined,0.5874883116275464
LSTM,Combined,0.5664522685334606
LSTM,Combined,0.5851932919905758
LSTM,Combined,0.5794509558104494
LSTM,Combined,0.577008194624653
LSTM,Combined,0.6103960208572133
LSTM,Combined,0.557338048264833
LSTM,Combined,0.5909148016390182
LSTM,Combined,0.5841751548629631
LSTM,Combined,0.5956320638704254
LSTM,Combined,0.5838610308490555
LSTM,Combined,0.5370044054458567
LSTM,Combined,0.5742803718077676
LSTM,Combined,0.5565408255296788
LSTM,Combined,0.5678645340385574
LSTM,Combined,0.5593129166894988
LSTM,Combined,0.557790260017462
LSTM,Combined,0.5728103477458382
LSTM,Combined,0.522008226658244
LSTM,Combined,0.5712979980722092
LSTM,Combined,0.5413811149874587
LSTM,Combined,0.5875130692104694
LSTM,Combined,0.5851829981705982
LSTM,Combined,0.534281337564403
LSTM,Combined,0.573833994622244
LSTM,Combined,0.5719617450076658
LSTM,Combined,0.5828110163574437
LSTM,Combined,0.5849077426959564
LSTM,Combined,0.5818702490568333
LSTM,Combined,0.5688369893260447
LSTM,Combined,0.5760294104430611
LSTM,Combined,0.5842410412536632
LSTM,Combined,0.5976518894660168
LSTM,Combined,0.5536437503646132
LSTM,Combined,0.5757262891912373
LSTM,Combined,0.5756810665898621
LSTM,Combined,0.5861085593751327
LSTM,Combined,0.5814928243168151
LSTM,Combined,0.5877075821457725
LSTM,Combined,0.594242481621763
LSTM,Combined,0.5696701454997921
LSTM,Combined,0.5734791542302091
LSTM,Combined,0.5847550587827579
LSTM,Combined,0.5949531981977383
LSTM,Combined,0.5612237109516877
LSTM,Combined,0.5887678969064608
LSTM,Combined,0.602716221250921
LSTM,Combined,0.5909967271590011
LSTM,Combined,0.5513461329460816
LSTM,Combined,0.5804254228238095
LSTM,Combined,0.5600537840765092
LSTM,Combined,0.5687551522530893
LSTM,Combined,0.5740108016921901
LSTM,Combined,0.5697186888861167
LSTM,Combined,0.563319694209556
LSTM,Combined,0.562129425758319
LSTM,Combined,0.5963931366743345
LSTM,Combined,0.5672268827883753
LSTM,Combined,0.6091006707959208
LSTM,Combined,0.5979758524510658
LSTM,Combined,0.5629369740202492
LSTM,Combined,0.552557476096299
LSTM,Combined,0.5783232178179388
LSTM,Combined,0.5919921043864808
LSTM,Combined,0.5765959466194713
LSTM,Combined,0.5752395902199491
LSTM,Combined,0.5822598331863726
LSTM,Combined,0.5729337344779544
LSTM,Combined,0.5637412692837225
LSTM,Combined,0.5699600312327776
LSTM,Combined,0.5692410137931292
LSTM,Combined,0.5793207078042375
LSTM,Combined,0.5578214768164215
LSTM,Combined,0.5490424855853647
LSTM,Combined,0.550014190005239
LSTM,Combined,0.5929287000516067
LSTM,Combined,0.5537194698620187
LSTM,Combined,0.5659704337095534
LSTM,Combined,0.5659403312225287
LSTM,Combined,0.5786458382583419
LSTM,Combined,0.5475127239466915
LSTM,Combined,0.5955492174465498
LSTM,Combined,0.5822710806283491
LSTM,Combined,0.5854580616451696
LSTM,Combined,0.5749278286703081
LSTM,Combined,0.5872007988231355
LSTM,Combined,0.5878592814867762
LSTM,Combined,0.5917886878346662
LSTM,Combined,0.6025400667015236
LSTM,Combined,0.5822214534803017
LSTM,Combined,0.5892315627329667
LSTM,Combined,0.5850202486578123
LSTM,Combined,0.5927233391073146
LSTM,Combined,0.5554486169509496
LSTM,Combined,0.5925379121359511
LSTM,Combined,0.6082179923885881
LSTM,Combined,0.5704827597721485
LSTM,Combined,0.6017612842220954
LSTM,Combined,0.5696638337842513
LSTM,Combined,0.5772099168442055
LSTM,Combined,0.5566597285385416
LSTM,Combined,0.5798950157063333
LSTM,Combined,0.5575265534434352
LSTM,Combined,0.5759979197056911
LSTM,Combined,0.5852430311860493
LSTM,Combined,0.5831129665806756
LSTM,Combined,0.5865968452164512
LSTM,Combined,0.5752907780059237
LSTM,Combined,0.5914843864826074
LSTM,Combined,0.5600983995148102
LSTM,Combined,0.5577632197365714
LSTM,Combined,0.572255373637519
LSTM,Combined,0.5911406580688449
LSTM,Combined,0.6153165680650075
LSTM,Combined,0.5954436928510285
LSTM,Combined,0.5886535173811156
LSTM,Combined,0.5879610007514529
LSTM,Combined,0.5798095335668347
LSTM,Combined,0.6037707174734719
LSTM,Combined,0.6148517457979721
LSTM,Combined,0.5475613942765764
LSTM,Combined,0.5737652712055606
LSTM,Combined,0.5894086783557877
LSTM,Combined,0.5981789486829938
LSTM,Combined,0.5972448143625414
LSTM,Combined,0.5819371952337509
LSTM,Combined,0.5699622384226944
LSTM,Combined,0.5917379368381693
LSTM,Combined,0.5900186390157888
LSTM,Combined,0.5593746375554962
LSTM,Combined,0.5589927928911781
LSTM,Combined,0.5757779967398401
LSTM,Combined,0.5863904280223264
LSTM,Combined,0.5675901634353739
LSTM,Combined,0.5923281537389111
LSTM,Combined,0.5626979158161796
LSTM,Combined,0.5957143427578043
LSTM,Combined,0.6143770858020797
LSTM,Combined,0.5745500544043322
LSTM,Combined,0.575964734994473
LSTM,Combined,0.5756091838318457
LSTM,Combined,0.5845088645763181
LSTM,Combined,0.5736904571399968
LSTM,Combined,0.581840154111816
LSTM,Combined,0.5341568889150681
LSTM,Combined,0.5844997646155591
LSTM,Combined,0.5804685453023236
LSTM,Combined,0.55338110089313
LSTM,Combined,0.5847637458840966
LSTM,Combined,0.6123389199521037
LSTM,Combined,0.5995612729672256
LSTM,Combined,0.5817200129783537
LSTM,Combined,0.582765482191152
LSTM,Combined,0.5734920838875307
LSTM,Combined,0.5719151933135788
LSTM,Combined,0.6032657434966517
LSTM,Combined,0.5852683510898986
LSTM,Combined,0.5971962361379873
LSTM,Combined,0.5750389599907751
LSTM,Combined,0.575812312892536
LSTM,Combined,0.6055183165269326
LSTM,Combined,0.588037856169029
LSTM,Combined,0.57200691015737
LSTM,Combined,0.5750490828078935
LSTM,Combined,0.5738212743742926
LSTM,Combined,0.5678490171564988
LSTM,Combined,0.5985467179705055
LSTM,Combined,0.5704699728453368
LSTM,Combined,0.5910412588098227
LSTM,Combined,0.6032180211050162
LSTM,Combined,0.5566387590877849
LSTM,Combined,0.6004887385138485
LSTM,Combined,0.5877029426695973
LSTM,Combined,0.5910830436032903
LSTM,Combined,0.5707107779776877
LSTM,Combined,0.5582183558453512
LSTM,Combined,0.5714255453694643
LSTM,Combined,0.5702061285646305
LSTM,Combined,0.5710392185680704
LSTM,Combined,0.578301837706129
LSTM,Combined,0.5846150812439488
LSTM,Combined,0.5687396117674199
LSTM,Combined,0.5627951699558882
LSTM,Combined,0.5747077559050136
LSTM,Combined,0.5456435847562222
LSTM,Combined,0.5868770299874497
LSTM,Combined,0.5849169492511345
LSTM,Combined,0.5951387358515664
LSTM,Combined,0.5703634634247056
LSTM,Combined,0.5845630061654896
LSTM,Combined,0.5719181816573835
LSTM,Combined,0.5868257776094987
LSTM,Combined,0.5602213898189363
LSTM,Combined,0.5902874414337793
LSTM,Combined,0.5961714318959905
LSTM,Combined,0.5683361676155814
LSTM,Combined,0.5767646106453057
LSTM,Combined,0.5876837753671412
LSTM,Combined,0.5619383494872487
LSTM,Combined,0.5812135026093059
LSTM,Combined,0.58012315610708
LSTM,Combined,0.5750168540336956
LSTM,Combined,0.6076374209781755
LSTM,Combined,0.5770836587795418
LSTM,Combined,0.6211996112528955
LSTM,Combined,0.5707291417093802
LSTM,Combined,0.6280698983199157
LSTM,Combined,0.5833525777951145
LSTM,Combined,0.5843329421999016
LSTM,Combined,0.560681705981114
LSTM,Combined,0.599750904672203
LSTM,Combined,0.5905416849524289
LSTM,Combined,0.5556677344193192
LSTM,Combined,0.6088212751149297
LSTM,Combined,0.6080149939484402
LSTM,Combined,0.5999310788565669
LSTM,Combined,0.56811401511062
LSTM,Combined,0.5815539481711188
LSTM,Combined,0.5840894720126665
LSTM,Combined,0.5957955715932307
LSTM,Combined,0.5839882021899182
LSTM,Combined,0.5842934214361231
LSTM,Combined,0.5445782077974218
LSTM,Combined,0.5762618505170657
LSTM,Combined,0.585938324589004
LSTM,Combined,0.5449397462933916
LSTM,Combined,0.5463766269256783
LSTM,Combined,0.5851384572584677
LSTM,Combined,0.605312640545048
LSTM,Combined,0.5567307377703014
LSTM,Combined,0.5750634235529762
LSTM,Combined,0.5649173203716554
LSTM,Combined,0.5788780435806757
LSTM,Combined,0.562887468301284
LSTM,Combined,0.6102471620602137
LSTM,Combined,0.5811198708594958
LSTM,Combined,0.5563166250384858
LSTM,Combined,0.5626839316436003
LSTM,Combined,0.5817697462854564
LSTM,Combined,0.5734476051357157
LSTM,Combined,0.6100835140516834
LSTM,Combined,0.5811830513309382
LSTM,Combined,0.5667309232901494
LSTM,Combined,0.5897238166435317
LSTM,Combined,0.5592810342892324
LSTM,Combined,0.5905411521239329
LSTM,Combined,0.5826172400149796
LSTM,Combined,0.5965478204338135
LSTM,Combined,0.5429612528191342
LSTM,Combined,0.5608234467176177
LSTM,Combined,0.5857422850798419
LSTM,Combined,0.5652392243378128
LSTM,Combined,0.5724531070279276
LSTM,Combined,0.592747573304361
LSTM,Combined,0.5774033029335067
LSTM,Combined,0.5625839204850618
LSTM,Combined,0.587934453849773
LSTM,Combined,0.5938713821701382
LSTM,Combined,0.6038304224728879
LSTM,Combined,0.5455883601643928
LSTM,Combined,0.5998903146748491
LSTM,Combined,0.567051656491227
LSTM,Combined,0.5746861940022107
LSTM,Combined,0.5856029844151219
LSTM,Combined,0.5870770535255353
LSTM,Combined,0.5889242492600371
LSTM,Combined,0.5763780238856023
LSTM,Combined,0.5631600939598629
LSTM,Combined,0.6004938750913753
